timestamp;datetime;Head.state;Head.px;Head.py;Head.pz;Head.rx;Head.ry;Head.rz;Neck.state;Neck.px;Neck.py;Neck.pz;Neck.rx;Neck.ry;Neck.rz;SpineShoulder.state;SpineShoulder.px;SpineShoulder.py;SpineShoulder.pz;SpineShoulder.rx;SpineShoulder.ry;SpineShoulder.rz;SpineMid.state;SpineMid.px;SpineMid.py;SpineMid.pz;SpineMid.rx;SpineMid.ry;SpineMid.rz;SpineBase.state;SpineBase.px;SpineBase.py;SpineBase.pz;SpineBase.rx;SpineBase.ry;SpineBase.rz;ShoulderRight.state;ShoulderRight.px;ShoulderRight.py;ShoulderRight.pz;ShoulderRight.rx;ShoulderRight.ry;ShoulderRight.rz;ShoulderLeft.state;ShoulderLeft.px;ShoulderLeft.py;ShoulderLeft.pz;ShoulderLeft.rx;ShoulderLeft.ry;ShoulderLeft.rz;HipRight.state;HipRight.px;HipRight.py;HipRight.pz;HipRight.rx;HipRight.ry;HipRight.rz;HipLeft.state;HipLeft.px;HipLeft.py;HipLeft.pz;HipLeft.rx;HipLeft.ry;HipLeft.rz;ElbowRight.state;ElbowRight.px;ElbowRight.py;ElbowRight.pz;ElbowRight.rx;ElbowRight.ry;ElbowRight.rz;WristRight.state;WristRight.px;WristRight.py;WristRight.pz;WristRight.rx;WristRight.ry;WristRight.rz;HandRight.state;HandRight.px;HandRight.py;HandRight.pz;HandRight.rx;HandRight.ry;HandRight.rz;HandTipRight.state;HandTipRight.px;HandTipRight.py;HandTipRight.pz;HandTipRight.rx;HandTipRight.ry;HandTipRight.rz;ThumbRight.state;ThumbRight.px;ThumbRight.py;ThumbRight.pz;ThumbRight.rx;ThumbRight.ry;ThumbRight.rz;ElbowLeft.state;ElbowLeft.px;ElbowLeft.py;ElbowLeft.pz;ElbowLeft.rx;ElbowLeft.ry;ElbowLeft.rz;WristLeft.state;WristLeft.px;WristLeft.py;WristLeft.pz;WristLeft.rx;WristLeft.ry;WristLeft.rz;HandLeft.state;HandLeft.px;HandLeft.py;HandLeft.pz;HandLeft.rx;HandLeft.ry;HandLeft.rz;HandTipLeft.state;HandTipLeft.px;HandTipLeft.py;HandTipLeft.pz;HandTipLeft.rx;HandTipLeft.ry;HandTipLeft.rz;ThumbLeft.state;ThumbLeft.px;ThumbLeft.py;ThumbLeft.pz;ThumbLeft.rx;ThumbLeft.ry;ThumbLeft.rz;KneeRight.state;KneeRight.px;KneeRight.py;KneeRight.pz;KneeRight.rx;KneeRight.ry;KneeRight.rz;AnkleRight.state;AnkleRight.px;AnkleRight.py;AnkleRight.pz;AnkleRight.rx;AnkleRight.ry;AnkleRight.rz;FootRight.state;FootRight.px;FootRight.py;FootRight.pz;FootRight.rx;FootRight.ry;FootRight.rz;KneeLeft.state;KneeLeft.px;KneeLeft.py;KneeLeft.pz;KneeLeft.rx;KneeLeft.ry;KneeLeft.rz;AnkleLeft.state;AnkleLeft.px;AnkleLeft.py;AnkleLeft.pz;AnkleLeft.rx;AnkleLeft.ry;AnkleLeft.rz;FootLeft.state;FootLeft.px;FootLeft.py;FootLeft.pz;FootLeft.rx;FootLeft.ry;FootLeft.rz
1665675047.568163;2022-10-13_16:30:47.568163;2.000000;1.867225;0.924170;4.232417;0.000000;0.000000;0.000000;2.000000;1.891425;0.838255;4.245137;-0.043666;0.889356;-0.159500;2.000000;1.901721;0.792703;4.257014;-0.038226;0.891512;-0.146374;2.000000;1.929627;0.654841;4.290004;-0.021268;0.864441;-0.132862;2.000000;1.961094;0.471575;4.329765;-0.012152;0.829374;-0.134004;2.000000;2.004814;0.759832;4.179538;0.697544;0.606078;-0.370040;2.000000;1.839370;0.788937;4.386588;0.661038;-0.521408;-0.275897;2.000000;1.962094;0.470390;4.286417;0.463516;0.542164;-0.546631;2.000000;1.938491;0.478840;4.337411;-0.594859;0.770290;0.022379;2.000000;2.077045;0.607989;4.169173;0.974913;0.219379;0.014382;2.000000;2.069562;0.439018;4.156514;0.858081;0.000169;-0.511678;2.000000;2.092606;0.384856;4.158644;0.822553;0.157622;-0.532160;2.000000;2.081117;0.351172;4.144456;0.000000;0.000000;0.000000;2.000000;2.077875;0.350625;4.138000;0.000000;0.000000;0.000000;2.000000;1.813949;0.634275;4.444863;0.933201;-0.128489;-0.302633;2.000000;1.818037;0.470949;4.482362;0.825066;0.072915;0.553572;2.000000;1.805178;0.446237;4.492468;0.754236;-0.068761;0.589984;2.000000;1.794668;0.404067;4.485203;0.000000;0.000000;0.000000;2.000000;1.828575;0.442785;4.480889;0.000000;0.000000;0.000000;2.000000;2.027122;0.197863;4.288728;0.974266;0.115430;0.192707;2.000000;2.119026;-0.018350;4.359071;0.902281;0.233962;0.355963;2.000000;2.063228;-0.058218;4.305624;0.000000;0.000000;0.000000;2.000000;1.953201;0.213593;4.413622;-0.209403;0.130448;0.967485;2.000000;2.013934;-0.021548;4.455400;-0.363849;0.033848;0.919086;2.000000;1.958625;-0.061404;4.401724;0.000000;0.000000;0.00000
1665675048.032363;2022-10-13_16:30:48.032363;2.000000;1.764842;0.888837;4.137678;0.000000;0.000000;0.000000;2.000000;1.797609;0.807024;4.149940;-0.058357;0.907448;-0.133376;2.000000;1.807797;0.760799;4.159405;-0.057909;0.909181;-0.114284;2.000000;1.836183;0.620623;4.182873;-0.053332;0.895847;-0.099023;2.000000;1.871209;0.431689;4.208375;-0.049707;0.879671;-0.100891;2.000000;1.913386;0.732673;4.083092;0.700078;0.618593;-0.339711;2.000000;1.734318;0.755874;4.271438;0.675061;-0.558632;-0.250323;2.000000;1.881346;0.427277;4.164800;0.529500;0.566272;-0.518360;2.000000;1.845011;0.432478;4.215681;-0.695964;0.699416;0.033601;2.000000;1.993101;0.584815;4.073820;0.965456;0.240965;0.085663;2.000000;2.011833;0.417694;4.053049;0.994207;0.059562;-0.068511;2.000000;2.047533;0.368683;4.047884;0.947991;0.311016;-0.063299;2.000000;2.036925;0.319983;4.034451;0.000000;0.000000;0.000000;2.000000;2.040539;0.367609;4.028200;0.000000;0.000000;0.000000;2.000000;1.718607;0.598604;4.326000;0.878166;-0.117555;-0.446222;2.000000;1.712971;0.436238;4.367227;0.936740;0.024845;0.326904;2.000000;1.689499;0.425906;4.366802;0.555634;-0.369870;0.626640;2.000000;1.669544;0.394604;4.379246;0.000000;0.000000;0.000000;2.000000;1.699594;0.418969;4.352000;0.000000;0.000000;0.000000;2.000000;1.905103;0.145872;4.141787;0.953314;0.028029;0.296268;2.000000;1.898551;-0.102021;4.150235;0.908134;-0.004875;0.418125;2.000000;1.846279;-0.140259;4.091614;0.000000;0.000000;0.000000;2.000000;1.880817;0.177584;4.309858;-0.307011;0.145350;0.933132;2.000000;1.973753;-0.194688;4.479077;-0.408662;0.140431;0.881396;1.000000;1.921732;-0.232590;4.420355;0.000000;0.000000;0.00000
1665675048.161535;2022-10-13_16:30:48.161535;2.000000;1.727034;0.901317;4.051424;0.000000;0.000000;0.000000;2.000000;1.755801;0.815405;4.060073;-0.057500;0.911245;-0.134106;2.000000;1.766335;0.766937;4.070203;-0.060238;0.912646;-0.115243;2.000000;1.796606;0.620167;4.095066;-0.056787;0.893515;-0.101128;2.000000;1.834960;0.422923;4.121710;-0.051654;0.870678;-0.103844;2.000000;1.874525;0.728277;3.998197;0.725979;0.591202;-0.339880;2.000000;1.695065;0.741421;4.188491;0.721092;-0.499434;-0.266218;2.000000;1.845169;0.418811;4.075818;0.522365;0.569341;-0.520280;2.000000;1.808736;0.423246;4.131381;0.700747;-0.684834;-0.056364;2.000000;1.949245;0.577730;3.983938;0.971033;0.224701;0.057977;2.000000;1.959524;0.409863;3.961598;0.977450;0.042889;-0.198273;2.000000;1.987779;0.370679;3.962067;0.926618;0.298071;-0.216611;2.000000;1.982097;0.344242;3.936451;0.000000;0.000000;0.000000;2.000000;1.979722;0.342904;3.921000;0.000000;0.000000;0.000000;2.000000;1.685184;0.588633;4.253805;0.820346;-0.134798;-0.534768;2.000000;1.687982;0.425325;4.291528;0.947545;0.042067;0.298768;2.000000;1.665832;0.411019;4.296759;0.728887;-0.330435;0.484576;2.000000;1.641936;0.364729;4.306749;0.000000;0.000000;0.000000;2.000000;1.679051;0.398733;4.275584;0.000000;0.000000;0.000000;2.000000;1.868798;0.137783;4.071443;0.959437;0.038096;0.278680;2.000000;1.885465;-0.104961;4.115127;0.902947;0.068085;0.419121;2.000000;1.833376;-0.143434;4.056542;0.000000;0.000000;0.000000;2.000000;1.829696;0.163408;4.219362;-0.288549;0.143756;0.942842;1.000000;1.914361;-0.037246;4.330608;-0.395152;0.141843;0.868391;1.000000;1.862506;-0.076015;4.271912;0.000000;0.000000;0.00000
1665675048.228919;2022-10-13_16:30:48.228919;2.000000;1.718505;0.892424;4.017233;0.000000;0.000000;0.000000;2.000000;1.748356;0.806632;4.024846;-0.034776;0.909215;-0.125142;2.000000;1.756450;0.758424;4.034827;-0.034731;0.910807;-0.107612;2.000000;1.778767;0.612198;4.060105;-0.029465;0.891954;-0.096520;2.000000;1.806438;0.415256;4.089499;-0.024709;0.869330;-0.097846;2.000000;1.860268;0.734648;3.958509;0.696148;0.627462;-0.325746;2.000000;1.685381;0.743287;4.151554;0.691927;-0.533394;-0.276194;2.000000;1.817003;0.410915;4.041943;0.534973;0.559927;-0.508117;2.000000;1.779771;0.416079;4.100745;0.693206;-0.686125;-0.072472;2.000000;1.925744;0.579755;3.939918;0.974139;0.191427;0.093852;2.000000;1.923581;0.412553;3.908284;-0.084684;-0.092469;0.992005;2.000000;1.935376;0.370947;3.941795;-0.038256;0.321473;0.937432;2.000000;1.938366;0.318334;3.881464;0.000000;0.000000;0.000000;2.000000;1.899976;0.351632;3.941500;0.000000;0.000000;0.000000;2.000000;1.663796;0.589255;4.212361;0.805927;-0.159929;-0.558259;2.000000;1.653784;0.424153;4.242432;0.691883;0.043806;0.715774;2.000000;1.657839;0.386706;4.254931;0.695736;0.149747;0.698388;2.000000;1.647606;0.337754;4.261239;0.000000;0.000000;0.000000;2.000000;1.677629;0.359864;4.250000;0.000000;0.000000;0.000000;2.000000;1.852474;0.132667;4.051332;0.960189;0.065502;0.271560;2.000000;1.869797;-0.109747;4.096337;0.905315;0.070023;0.413275;2.000000;1.816618;-0.147252;4.038068;0.000000;0.000000;0.000000;2.000000;1.786489;0.144799;4.160357;-0.322438;0.098140;0.940340;1.000000;1.895100;-0.031298;4.289157;-0.376633;0.162789;0.848191;2.000000;1.842134;-0.069145;4.230787;0.000000;0.000000;0.00000
1665675048.294931;2022-10-13_16:30:48.294931;2.000000;1.690501;0.906538;3.972101;0.000000;0.000000;0.000000;2.000000;1.714119;0.817501;3.979374;-0.034583;0.901880;-0.141104;2.000000;1.723459;0.767015;3.991307;-0.034050;0.903868;-0.122463;2.000000;1.748827;0.615109;4.021692;-0.028944;0.885681;-0.110870;2.000000;1.780241;0.412589;4.057121;-0.023948;0.864633;-0.112055;2.000000;1.840473;0.729030;3.925855;0.733287;0.599735;-0.313975;2.000000;1.675147;0.746319;4.130850;0.685200;-0.454676;-0.316067;2.000000;1.789761;0.409663;4.009548;0.517986;0.568059;-0.511652;2.000000;1.754443;0.412499;4.068147;0.705197;-0.672067;-0.065574;2.000000;1.898338;0.571598;3.899417;0.976487;0.164575;0.100262;2.000000;1.884939;0.406350;3.859017;-0.120171;-0.113651;0.984761;2.000000;1.892943;0.363892;3.895745;-0.054236;0.341362;0.933501;2.000000;1.890866;0.303562;3.828480;0.000000;0.000000;0.000000;2.000000;1.858089;0.349735;3.904800;0.000000;0.000000;0.000000;2.000000;1.651470;0.587421;4.179245;0.823022;-0.140272;-0.544202;2.000000;1.638443;0.421122;4.202487;0.799565;0.010219;0.595314;2.000000;1.637822;0.382955;4.215539;0.794480;0.090920;0.584678;2.000000;1.629721;0.335263;4.229742;0.000000;0.000000;0.000000;2.000000;1.652892;0.372347;4.196000;0.000000;0.000000;0.000000;2.000000;1.835914;0.134471;4.028087;0.960717;0.088696;0.262777;2.000000;1.859076;-0.105706;4.080483;0.912584;0.085546;0.391852;2.000000;1.803771;-0.144140;4.025645;0.000000;0.000000;0.000000;2.000000;1.749360;0.133555;4.097473;-0.403099;0.051552;0.913613;2.000000;1.856096;-0.035586;4.236252;-0.354833;0.193920;0.849409;2.000000;1.801046;-0.074326;4.181295;0.000000;0.000000;0.00000
1665675048.365871;2022-10-13_16:30:48.365871;2.000000;1.668342;0.899537;3.936266;0.000000;0.000000;0.000000;2.000000;1.693351;0.810960;3.943275;-0.019718;0.900359;-0.138924;2.000000;1.701128;0.761139;3.955407;-0.019909;0.902164;-0.122128;2.000000;1.722436;0.610219;3.987152;-0.016939;0.892119;-0.110023;2.000000;1.748791;0.407170;4.024937;-0.014041;0.880301;-0.110430;2.000000;1.810226;0.724493;3.884813;0.725823;0.597000;-0.329990;2.000000;1.643849;0.742061;4.093672;0.683025;-0.483202;-0.310971;2.000000;1.761950;0.397614;3.978311;0.573916;0.537216;-0.517093;2.000000;1.719693;0.413392;4.035195;-0.632107;0.744597;0.039939;2.000000;1.865444;0.566188;3.856872;0.979489;0.158008;0.079267;2.000000;1.845212;0.401254;3.817748;-0.086606;-0.109908;0.987710;2.000000;1.857180;0.357470;3.833371;-0.042589;0.160715;0.976849;2.000000;1.842961;0.299991;3.783997;0.000000;0.000000;0.000000;2.000000;1.838765;0.300141;3.786000;0.000000;0.000000;0.000000;2.000000;1.624365;0.584666;4.147256;0.858333;-0.131187;-0.483083;2.000000;1.619728;0.419270;4.176783;0.906748;0.023883;0.412115;1.000000;1.602005;0.400627;4.181013;0.775836;-0.259703;0.505626;2.000000;1.587874;0.353981;4.179752;0.000000;0.000000;0.000000;2.000000;1.620428;0.390516;4.159200;0.000000;0.000000;0.000000;2.000000;1.816900;0.125797;4.005691;0.950442;0.109324;0.290473;2.000000;1.848372;-0.111107;4.066462;0.911065;0.108035;0.387710;2.000000;1.792679;-0.149106;4.011707;0.000000;0.000000;0.000000;2.000000;1.714063;0.132540;4.052726;-0.418589;0.032487;0.907586;2.000000;1.815752;-0.043342;4.187219;-0.403462;0.170070;0.835557;2.000000;1.816787;-0.122351;4.190643;0.000000;0.000000;0.00000
1665675048.428084;2022-10-13_16:30:48.428084;2.000000;1.644790;0.892133;3.907403;0.000000;0.000000;0.000000;2.000000;1.669329;0.803786;3.915525;-0.009690;0.891810;-0.142838;2.000000;1.676540;0.754351;3.928230;-0.009813;0.893756;-0.125714;2.000000;1.696018;0.604413;3.961721;-0.006691;0.886300;-0.112833;2.000000;1.719483;0.402430;4.001933;-0.004418;0.877080;-0.112945;2.000000;1.783427;0.713890;3.848078;0.720396;0.585642;-0.354898;2.000000;1.625328;0.735950;4.054897;0.681541;-0.482550;-0.319749;2.000000;1.731839;0.389475;3.956327;0.591766;0.508989;-0.531056;2.000000;1.691474;0.411695;4.010998;-0.590861;0.778008;0.028012;2.000000;1.833018;0.554402;3.814227;0.982283;0.141980;0.055306;2.000000;1.808084;0.390413;3.773341;0.004387;-0.121204;0.989917;2.000000;1.815369;0.339364;3.758932;-0.015437;-0.137211;0.988173;2.000000;1.800835;0.296433;3.739511;0.000000;0.000000;0.000000;2.000000;1.808520;0.327634;3.770400;0.000000;0.000000;0.000000;2.000000;1.602468;0.582424;4.116536;0.765870;-0.172078;-0.610799;2.000000;1.588401;0.415972;4.138554;0.907050;-0.010893;0.413777;1.000000;1.582370;0.384369;4.143868;0.900751;-0.050161;0.416197;2.000000;1.576245;0.340145;4.149153;0.000000;0.000000;0.000000;2.000000;1.593368;0.372115;4.116334;0.000000;0.000000;0.000000;2.000000;1.800189;0.121947;3.987684;0.950680;0.135144;0.278484;2.000000;1.829524;-0.111931;4.059229;0.909490;0.112790;0.384128;2.000000;1.772984;-0.149838;4.005544;0.000000;0.000000;0.000000;2.000000;1.668386;0.129725;4.015553;-0.319904;0.020707;0.946535;2.000000;1.740357;-0.088463;4.101905;-0.367647;0.110484;0.899618;2.000000;1.684208;-0.126472;4.048047;0.000000;0.000000;0.00000
1665675048.493455;2022-10-13_16:30:48.493455;2.000000;1.611551;0.882547;3.870884;0.000000;0.000000;0.000000;2.000000;1.636818;0.793244;3.875911;-0.016326;0.896681;-0.151388;2.000000;1.644812;0.744101;3.889202;-0.016036;0.898798;-0.134023;2.000000;1.666577;0.594964;3.924421;-0.014670;0.897329;-0.120375;2.000000;1.693198;0.393887;3.966597;-0.013828;0.894338;-0.120475;2.000000;1.757343;0.705145;3.816390;0.724556;0.594728;-0.338479;2.000000;1.592811;0.728094;4.021470;0.678344;-0.479258;-0.309534;2.000000;1.707138;0.382962;3.923458;0.590056;0.531606;-0.518621;2.000000;1.663676;0.400905;3.973190;-0.622079;0.763334;-0.002854;2.000000;1.795119;0.544035;3.772484;0.985108;0.110796;0.008957;2.000000;1.758441;0.382592;3.729369;-0.074887;-0.119192;0.982970;2.000000;1.767826;0.325043;3.704869;-0.121113;-0.206085;0.969682;2.000000;1.751229;0.282384;3.688863;0.000000;0.000000;0.000000;2.000000;1.760398;0.321630;3.708000;0.000000;0.000000;0.000000;2.000000;1.572863;0.576311;4.087413;0.785645;-0.169603;-0.581425;2.000000;1.566153;0.409609;4.110058;0.900203;0.011016;0.429757;1.000000;1.555504;0.376695;4.111550;0.881190;-0.129084;0.445851;2.000000;1.557373;0.326120;4.114007;0.000000;0.000000;0.000000;2.000000;1.568691;0.371464;4.085800;0.000000;0.000000;0.000000;2.000000;1.780820;0.119103;3.964320;0.936302;0.151408;0.315665;2.000000;1.817964;-0.111882;4.040709;0.904632;0.132632;0.388481;2.000000;1.762539;-0.150381;3.986198;0.000000;0.000000;0.000000;2.000000;1.630538;0.118806;3.964640;-0.336800;0.005522;0.939642;2.000000;1.675028;-0.118401;4.015894;-0.381042;0.061778;0.914066;2.000000;1.620093;-0.156863;3.961171;0.000000;0.000000;0.00000
1665675048.555626;2022-10-13_16:30:48.555626;2.000000;1.571326;0.869460;3.828139;0.000000;0.000000;0.000000;2.000000;1.600466;0.784126;3.838382;-0.010270;0.902468;-0.144844;2.000000;1.607604;0.733861;3.851664;-0.009610;0.904533;-0.127761;2.000000;1.626764;0.581097;3.886936;-0.009175;0.910441;-0.114331;2.000000;1.649595;0.374464;3.929568;-0.010364;0.914525;-0.114229;2.000000;1.711069;0.696569;3.775224;0.719432;0.590413;-0.348764;2.000000;1.547816;0.708568;3.969332;0.711243;-0.485200;-0.297052;2.000000;1.666529;0.368206;3.886295;0.582530;0.573885;-0.476861;2.000000;1.617009;0.376137;3.935820;-0.689000;0.709589;-0.010286;2.000000;1.751878;0.535680;3.733965;0.983289;0.113557;0.059006;2.000000;1.717231;0.375038;3.685963;0.061229;-0.148523;0.982551;2.000000;1.725877;0.317104;3.665767;0.034980;-0.163060;0.983002;2.000000;1.707498;0.278511;3.638543;0.000000;0.000000;0.000000;2.000000;1.711168;0.292319;3.646333;0.000000;0.000000;0.000000;2.000000;1.530335;0.559527;4.040936;0.821818;-0.164170;-0.522306;2.000000;1.528824;0.396392;4.079674;0.880626;0.049759;0.459294;1.000000;1.517525;0.361341;4.080317;0.860355;-0.130898;0.485387;2.000000;1.511998;0.312504;4.081276;0.000000;0.000000;0.000000;2.000000;1.532801;0.366464;4.055000;0.000000;0.000000;0.000000;2.000000;1.750926;0.110431;3.936563;0.917538;0.178464;0.354045;2.000000;1.800968;-0.114172;4.022633;0.896040;0.167217;0.392704;2.000000;1.746548;-0.152209;3.966432;0.000000;0.000000;0.000000;2.000000;1.585007;0.093911;3.923828;-0.380001;0.001927;0.923024;2.000000;1.584864;-0.154437;3.927903;-0.396628;0.007645;0.917943;2.000000;1.531112;-0.192270;3.871425;0.000000;0.000000;0.00000
1665675048.623862;2022-10-13_16:30:48.623862;2.000000;1.531791;0.856400;3.791038;0.000000;0.000000;0.000000;2.000000;1.558559;0.768072;3.797035;-0.004105;0.891035;-0.149652;2.000000;1.565596;0.718493;3.810695;-0.004851;0.893080;-0.132561;2.000000;1.584701;0.568192;3.846931;-0.005721;0.894564;-0.120389;2.000000;1.608419;0.365941;3.890771;-0.005765;0.894722;-0.120387;2.000000;1.668550;0.679500;3.737304;0.724008;0.585486;-0.350950;2.000000;1.518673;0.699533;3.939517;0.680518;-0.468665;-0.324638;2.000000;1.623282;0.358102;3.846153;0.577483;0.555420;-0.498722;2.000000;1.578574;0.370293;3.899006;-0.655958;0.730855;0.011222;2.000000;1.713835;0.519824;3.696521;0.982976;0.130970;0.029843;2.000000;1.682283;0.357484;3.652984;-0.103824;-0.118395;0.981766;2.000000;1.686159;0.289851;3.635286;-0.122337;-0.129939;0.983873;2.000000;1.673273;0.258076;3.628899;0.000000;0.000000;0.000000;2.000000;1.679850;0.290798;3.633857;0.000000;0.000000;0.000000;2.000000;1.499379;0.547840;4.005712;0.797762;-0.165759;-0.564590;2.000000;1.489398;0.385281;4.045834;0.896344;0.024614;0.425606;1.000000;1.477594;0.347901;4.043850;0.883435;-0.147548;0.442405;2.000000;1.472406;0.301220;4.047992;0.000000;0.000000;0.000000;2.000000;1.487829;0.330921;4.019750;0.000000;0.000000;0.000000;2.000000;1.710830;0.101958;3.898101;0.932264;0.183676;0.309082;2.000000;1.783561;-0.108305;4.000537;0.893479;0.224182;0.361823;2.000000;1.726683;-0.146496;3.947680;0.000000;0.000000;0.000000;2.000000;1.548170;0.087929;3.886852;-0.339287;-0.001934;0.938912;2.000000;1.549895;-0.160606;3.881393;-0.365036;-0.011490;0.930922;2.000000;1.493722;-0.198533;3.828247;0.000000;0.000000;0.00000
1665675048.692091;2022-10-13_16:30:48.692091;2.000000;1.489221;0.843158;3.757524;0.000000;0.000000;0.000000;2.000000;1.520145;0.757560;3.765315;-0.002077;0.889724;-0.143573;2.000000;1.526770;0.707986;3.778432;-0.001327;0.892016;-0.124325;2.000000;1.543887;0.557764;3.812635;-0.000808;0.899370;-0.107955;2.000000;1.563105;0.355761;3.852655;-0.002137;0.904519;-0.107937;2.000000;1.626360;0.671190;3.701605;0.717549;0.587907;-0.354275;2.000000;1.473353;0.691593;3.911390;0.672477;-0.491387;-0.323429;2.000000;1.578635;0.348194;3.809229;0.587706;0.556199;-0.485343;2.000000;1.532769;0.359905;3.859549;-0.658768;0.734677;0.004187;2.000000;1.672710;0.511466;3.662584;0.983523;0.136336;0.013322;2.000000;1.649928;0.346959;3.622827;0.314119;-0.132771;0.939677;2.000000;1.654429;0.296565;3.604188;0.298594;-0.154556;0.937101;2.000000;1.639589;0.255128;3.587576;0.000000;0.000000;0.000000;2.000000;1.654577;0.288166;3.595333;0.000000;0.000000;0.000000;2.000000;1.451584;0.537383;3.971718;0.856613;-0.147704;-0.477366;2.000000;1.444543;0.373886;4.008830;0.938554;0.016572;0.326010;2.000000;1.428285;0.341330;4.004693;0.907827;-0.234098;0.346853;2.000000;1.426261;0.285394;4.010144;0.000000;0.000000;0.000000;2.000000;1.438191;0.334798;3.977600;0.000000;0.000000;0.000000;2.000000;1.670663;0.095422;3.866642;0.923990;0.196465;0.325153;2.000000;1.756142;-0.104841;3.977904;0.885719;0.258658;0.353553;2.000000;1.698782;-0.142389;3.925069;0.000000;0.000000;0.000000;2.000000;1.511470;0.077174;3.852407;-0.356017;0.001616;0.933639;2.000000;1.520483;-0.171128;3.847679;-0.359227;-0.015397;0.933025;2.000000;1.463829;-0.208343;3.794560;0.000000;0.000000;0.00000
1665675048.770347;2022-10-13_16:30:48.770347;2.000000;1.413697;0.847750;3.696113;0.000000;0.000000;0.000000;2.000000;1.440647;0.757572;3.697704;-0.013324;0.909763;-0.138153;2.000000;1.447642;0.706747;3.710441;-0.014308;0.911407;-0.123007;2.000000;1.467147;0.552566;3.744319;-0.009156;0.888139;-0.113573;2.000000;1.492175;0.344908;3.785590;-0.002488;0.860538;-0.113914;2.000000;1.562589;0.662555;3.642022;0.743027;0.581145;-0.323658;2.000000;1.388637;0.682025;3.835469;0.706423;-0.478171;-0.298295;2.000000;1.501971;0.339446;3.737998;0.539436;0.547805;-0.514645;2.000000;1.467630;0.347243;3.795739;-0.673075;0.702600;0.056353;2.000000;1.615495;0.503243;3.614045;0.983884;0.158479;-0.005890;2.000000;1.615834;0.335418;3.586694;-0.085230;-0.080477;0.993088;2.000000;1.614232;0.289345;3.583102;-0.084651;-0.037270;0.995501;2.000000;1.611194;0.243320;3.557187;0.000000;0.000000;0.000000;2.000000;1.601810;0.281574;3.627800;0.000000;0.000000;0.000000;2.000000;1.372427;0.526579;3.894318;0.742643;-0.154747;-0.643340;2.000000;1.358596;0.364598;3.935621;0.742985;0.051055;0.656370;1.000000;1.354289;0.327623;3.944165;0.741658;0.032389;0.658787;2.000000;1.352854;0.281438;3.953439;0.000000;0.000000;0.000000;2.000000;1.366533;0.294419;3.936667;0.000000;0.000000;0.000000;2.000000;1.571560;0.072336;3.770214;0.926303;0.138968;0.350071;2.000000;1.691611;-0.097221;3.897427;0.843395;0.358899;0.369723;2.000000;1.638553;-0.135318;3.839780;0.000000;0.000000;0.000000;2.000000;1.466432;0.065968;3.808647;-0.263519;0.022677;0.964379;2.000000;1.479256;-0.181542;3.819627;-0.403991;0.009799;0.914129;2.000000;1.426918;-0.219226;3.761699;0.000000;0.000000;0.00000
1665675048.858571;2022-10-13_16:30:48.858571;2.000000;1.377212;0.839167;3.663365;0.000000;0.000000;0.000000;2.000000;1.405852;0.751977;3.670949;-0.015451;0.904070;-0.118864;2.000000;1.412330;0.701827;3.681392;-0.016501;0.905541;-0.102019;2.000000;1.430022;0.549734;3.707996;-0.014556;0.892438;-0.090730;2.000000;1.452134;0.344912;3.739057;-0.011572;0.877468;-0.091159;2.000000;1.520711;0.667362;3.606477;0.723433;0.600471;-0.321215;2.000000;1.355383;0.680515;3.805487;0.690324;-0.493185;-0.317113;2.000000;1.462065;0.343989;3.693945;0.523813;0.575054;-0.485395;2.000000;1.427717;0.342489;3.747077;0.737691;-0.652745;-0.052294;2.000000;1.579294;0.509733;3.582108;0.981332;0.177645;-0.028654;2.000000;1.592738;0.342009;3.560150;-0.112121;-0.068945;0.990777;2.000000;1.593196;0.293614;3.564291;-0.116795;0.041817;0.992228;2.000000;1.584153;0.240676;3.518594;0.000000;0.000000;0.000000;2.000000;1.574985;0.282538;3.606889;0.000000;0.000000;0.000000;2.000000;1.322195;0.523737;3.855412;0.959708;-0.131091;-0.214432;2.000000;1.314035;0.360658;3.893973;0.772913;0.053593;0.623387;1.000000;1.307221;0.327590;3.895009;0.761307;-0.067686;0.640228;2.000000;1.304226;0.277930;3.903456;0.000000;0.000000;0.000000;2.000000;1.318550;0.291210;3.883800;0.000000;0.000000;0.000000;2.000000;1.522741;0.073023;3.719206;0.895726;0.118542;0.428468;2.000000;1.650252;-0.088211;3.849616;0.798623;0.393350;0.439729;2.000000;1.665023;-0.165233;3.849148;0.000000;0.000000;0.000000;2.000000;1.434732;0.064007;3.776474;-0.290001;0.046642;0.955500;2.000000;1.464621;-0.181030;3.796823;-0.387150;0.014472;0.919108;2.000000;1.410425;-0.217607;3.740035;0.000000;0.000000;0.00000
